Binomial	ID	year	popvalue
Coregonus_artedi	1843	950	1.687
Gadus_morhua	2919	950	333
Lepidopsetta_bilineata	3202	950	2589
Melanogrammus_aeglefinus	3488	950	69.6
Oncorhynchus_nerka	3743	950	16806
Oncorhynchus_nerka	3744	950	86064
Oncorhynchus_nerka	3746	950	0.44
Oncorhynchus_nerka	3748	950	2770
Oncorhynchus_nerka	3749	950	277
Oncorhynchus_nerka	3750	950	28576
Oncorhynchus_nerka	3751	950	7493
Oncorhynchus_nerka	3752	950	6555
Oncorhynchus_nerka	3753	950	44484
Oncorhynchus_nerka	3754	950	608130
Oncorhynchus_nerka	3755	950	2473
Ophiodon_elongatus	3823	950	25258.7519
Ophiodon_elongatus	3824	950	43371.3851
Ophiodon_elongatus	3825	950	42823.4399
Ophiodon_elongatus	3826	950	47754.9466
Ovis_canadensis	3877	950	1500
Parophrys_vetulus	3885	950	4404
Perca_flavescens	3902	950	0.6
Salmo_salar	4262	950	1744
Sebastes_brevispinis	4368	950	0.9936
Clupea_pallasii	1826	951	74
Clupea_pallasii	1827	951	77
Clupea_pallasii	1837	951	33.54
Coregonus_artedi	1843	951	1.919
Coregonus_artedi	1844	951	0.05
Gadus_morhua	2919	951	369
Lepidopsetta_bilineata	3202	951	2635
Melanogrammus_aeglefinus	3488	951	77.1
Oncorhynchus_gorbuscha	3680	951	52825
Oncorhynchus_nerka	3743	951	8101
Oncorhynchus_nerka	3744	951	54840
Oncorhynchus_nerka	3745	951	83
Oncorhynchus_nerka	3746	951	0.3
Oncorhynchus_nerka	3748	951	1960
Oncorhynchus_nerka	3749	951	22
Oncorhynchus_nerka	3750	951	34069
Oncorhynchus_nerka	3751	951	58134
Oncorhynchus_nerka	3752	951	57564
Oncorhynchus_nerka	3753	951	14457
Oncorhynchus_nerka	3754	951	85616
Oncorhynchus_nerka	3755	951	3450
Oncorhynchus_tshawytscha	3795	951	171725
Ophiodon_elongatus	3823	951	25350.0761
Ophiodon_elongatus	3824	951	43584.4748
Ophiodon_elongatus	3825	951	42458.1431
Ophiodon_elongatus	3826	951	47846.2709
Parophrys_vetulus	3885	951	2959
Perca_flavescens	3902	951	15.228
Salmo_salar	4262	951	2093
Sebastes_brevispinis	4368	951	0.9936
Blarina_brevicauda	428	952	1
Tamias_striatus	429	952	1
Napaeozapus_insignis	430	952	18
Sorex_cinereus	431	952	3
Myodes_gapperi	448	952	17
Anguilla_rostrata	476	952	0.56
Clupea_pallasii	1826	952	52.9
Clupea_pallasii	1827	952	85.1
Clupea_pallasii	1828	952	60
Clupea_pallasii	1829	952	73
Clupea_pallasii	1830	952	11.4
Clupea_pallasii	1837	952	20.93
Coregonus_artedi	1843	952	3.113
Coregonus_artedi	1844	952	0.23
Gadus_morhua	2919	952	400
Lepidopsetta_bilineata	3202	952	3438
Melanogrammus_aeglefinus	3488	952	75
Oncorhynchus_gorbuscha	3680	952	128975
Oncorhynchus_nerka	3743	952	15460
Oncorhynchus_nerka	3744	952	20513
Oncorhynchus_nerka	3745	952	68
Oncorhynchus_nerka	3746	952	0.58
Oncorhynchus_nerka	3748	952	17
Oncorhynchus_nerka	3749	952	92
Oncorhynchus_nerka	3750	952	16672
Oncorhynchus_nerka	3751	952	261329
Oncorhynchus_nerka	3752	952	233628
Oncorhynchus_nerka	3753	952	28679
Oncorhynchus_nerka	3754	952	4339
Oncorhynchus_nerka	3755	952	6222
Oncorhynchus_tshawytscha	3795	952	176250
Ophiodon_elongatus	3823	952	25502.2831
Ophiodon_elongatus	3824	952	43006.0883
Ophiodon_elongatus	3825	952	42458.1431
Ophiodon_elongatus	3826	952	47815.8295
Parophrys_vetulus	3885	952	2670
Perca_flavescens	3902	952	18.252
Salmo_salar	4262	952	969
Sebastes_brevispinis	4368	952	0.9954
Blarina_brevicauda	428	953	1
Tamias_striatus	429	953	8
Napaeozapus_insignis	430	953	3
Sorex_cinereus	431	953	5
Myodes_gapperi	448	953	11
Anguilla_rostrata	476	953	1.14
Clupea_pallasii	1826	953	38.9
Clupea_pallasii	1827	953	84.8
Clupea_pallasii	1828	953	38
Clupea_pallasii	1829	953	51
Clupea_pallasii	1830	953	12.2
Clupea_pallasii	1837	953	29.65
Coregonus_artedi	1843	953	1.555
Coregonus_artedi	1844	953	0.84
Gadus_morhua	2919	953	419
Lepidopsetta_bilineata	3202	953	2980
Melanogrammus_aeglefinus	3488	953	97.4
Oncorhynchus_gorbuscha	3680	953	95500
Oncorhynchus_keta	3694	953	652
Oncorhynchus_keta	3695	953	345
Oncorhynchus_nerka	3743	953	5194
Oncorhynchus_nerka	3744	953	21006
Oncorhynchus_nerka	3745	953	70
Oncorhynchus_nerka	3746	953	0.43
Oncorhynchus_nerka	3748	953	173096
Oncorhynchus_nerka	3749	953	62082
Oncorhynchus_nerka	3750	953	87905
Oncorhynchus_nerka	3751	953	109341
Oncorhynchus_nerka	3752	953	94471
Oncorhynchus_nerka	3753	953	23417
Oncorhynchus_nerka	3754	953	1722
Oncorhynchus_nerka	3755	953	1131
Oncorhynchus_tshawytscha	3795	953	137225
Ophiodon_elongatus	3823	953	25684.9315
Ophiodon_elongatus	3824	953	42732.1157
Ophiodon_elongatus	3825	953	42427.7017
Ophiodon_elongatus	3826	953	48302.8919
Parophrys_vetulus	3885	953	2273
Perca_flavescens	3902	953	11.196
Sebastes_brevispinis	4368	953	0.9971
Blarina_brevicauda	428	954	3
Tamias_striatus	429	954	25
Napaeozapus_insignis	430	954	7
Sorex_cinereus	431	954	1
Myodes_gapperi	448	954	29
Anguilla_rostrata	476	954	0.3
Clupea_pallasii	1826	954	47.2
Clupea_pallasii	1827	954	97
Clupea_pallasii	1828	954	49
Clupea_pallasii	1829	954	37
Clupea_pallasii	1830	954	10.8
Clupea_pallasii	1837	954	25.41
Coregonus_artedi	1843	954	1.839
Coregonus_artedi	1844	954	0.557
Gadus_morhua	2919	954	391
Lepidopsetta_bilineata	3202	954	3565
Melanogrammus_aeglefinus	3488	954	75.4
Oncorhynchus_gorbuscha	3680	954	53600
Oncorhynchus_gorbuscha	3682	954	215523
Oncorhynchus_gorbuscha	3683	954	952561
Oncorhynchus_keta	3694	954	698
Oncorhynchus_keta	3695	954	573
Oncorhynchus_keta	3704	954	34152
Oncorhynchus_keta	3705	954	51186
Oncorhynchus_keta	3706	954	15058
Oncorhynchus_kisutch	3722	954	229241
Oncorhynchus_kisutch	3723	954	292391
Oncorhynchus_kisutch	3724	954	28551
Oncorhynchus_kisutch	3725	954	5542
Oncorhynchus_nerka	3743	954	13837
Oncorhynchus_nerka	3744	954	75144
Oncorhynchus_nerka	3745	954	85
Oncorhynchus_nerka	3746	954	0.1
Oncorhynchus_nerka	3748	954	2728
Oncorhynchus_nerka	3749	954	141
Oncorhynchus_nerka	3750	954	18336
Oncorhynchus_nerka	3751	954	21837
Oncorhynchus_nerka	3752	954	21247
Oncorhynchus_nerka	3753	954	9720
Oncorhynchus_nerka	3754	954	1181411
Oncorhynchus_nerka	3755	954	4143
Oncorhynchus_tshawytscha	3795	954	86375
Ophiodon_elongatus	3823	954	25958.9041
Ophiodon_elongatus	3824	954	42732.1157
Ophiodon_elongatus	3825	954	42914.7641
Ophiodon_elongatus	3826	954	47694.0639
Parophrys_vetulus	3885	954	1981
Perca_flavescens	3902	954	13.652
Sebastes_brevispinis	4368	954	1.0026
Mallotus_villosus	404	955	15
Tamias_striatus	429	955	4
Napaeozapus_insignis	430	955	1
Sorex_cinereus	431	955	15
Myodes_gapperi	448	955	47
Anguilla_rostrata	476	955	0.57
Clupea_pallasii	1826	955	45.4
Clupea_pallasii	1827	955	135.7
Clupea_pallasii	1828	955	71
Clupea_pallasii	1829	955	38
Clupea_pallasii	1830	955	11.2
Clupea_pallasii	1837	955	30.77
Coregonus_artedi	1843	955	1.291
Coregonus_artedi	1844	955	0.203
Gadus_morhua	2919	955	352
Lepidopsetta_bilineata	3202	955	3377
Melanogrammus_aeglefinus	3488	955	62.8
Oncorhynchus_gorbuscha	3680	955	99496
Oncorhynchus_gorbuscha	3684	955	353085
Oncorhynchus_gorbuscha	3685	955	286006
Oncorhynchus_gorbuscha	3686	955	138257
Oncorhynchus_keta	3694	955	146
Oncorhynchus_keta	3695	955	70
Oncorhynchus_keta	3704	955	514
Oncorhynchus_keta	3705	955	21937
Oncorhynchus_keta	3706	955	1553
Oncorhynchus_kisutch	3722	955	195036
Oncorhynchus_kisutch	3723	955	268710
Oncorhynchus_nerka	3743	955	13371
Oncorhynchus_nerka	3744	955	31129
Oncorhynchus_nerka	3745	955	110
Oncorhynchus_nerka	3746	955	0.13
Oncorhynchus_nerka	3748	955	3449
Oncorhynchus_nerka	3749	955	32
Oncorhynchus_nerka	3750	955	1470
Oncorhynchus_nerka	3751	955	80589
Oncorhynchus_nerka	3752	955	75834
Oncorhynchus_nerka	3753	955	8609
Oncorhynchus_nerka	3754	955	45007
Oncorhynchus_nerka	3755	955	5079
Oncorhynchus_tshawytscha	3795	955	110500
Ophiodon_elongatus	3823	955	25806.6971
Ophiodon_elongatus	3824	955	42640.7915
Ophiodon_elongatus	3825	955	42823.4399
Ophiodon_elongatus	3826	955	47328.7671
Parophrys_vetulus	3885	955	2296
Perca_flavescens	3902	955	21.942
Sebastes_brevispinis	4368	955	1.0098
Mallotus_villosus	404	956	15
Tamias_striatus	429	956	12
Napaeozapus_insignis	430	956	6
Sorex_cinereus	431	956	1
Myodes_gapperi	448	956	31
Anguilla_rostrata	476	956	0.4
Clupea_pallasii	1826	956	46.6
Clupea_pallasii	1827	956	122.7
Clupea_pallasii	1828	956	65
Clupea_pallasii	1829	956	48
Clupea_pallasii	1830	956	52
Clupea_pallasii	1837	956	34.57
Coregonus_artedi	1843	956	1.329
Coregonus_artedi	1844	956	0.821
Gadus_macrocephalus	2903	956	14141
Gadus_morhua	2919	956	341
Lepidopsetta_bilineata	3202	956	2701
Melanogrammus_aeglefinus	3488	956	88.7
Oncorhynchus_gorbuscha	3680	956	40375
Oncorhynchus_gorbuscha	3682	956	102282
Oncorhynchus_gorbuscha	3683	956	571448
Oncorhynchus_keta	3694	956	336
Oncorhynchus_keta	3695	956	133
Oncorhynchus_keta	3704	956	6213
Oncorhynchus_keta	3705	956	51186
Oncorhynchus_keta	3706	956	1366
Oncorhynchus_kisutch	3722	956	381758
Oncorhynchus_kisutch	3723	956	391420
Oncorhynchus_kisutch	3724	956	66618
Oncorhynchus_nerka	3743	956	5931
Oncorhynchus_nerka	3744	956	22684
Oncorhynchus_nerka	3745	956	90
Oncorhynchus_nerka	3746	956	0.22
Oncorhynchus_nerka	3748	956	512
Oncorhynchus_nerka	3749	956	41
Oncorhynchus_nerka	3750	956	16888
Oncorhynchus_nerka	3751	956	386381
Oncorhynchus_nerka	3752	956	368607
Oncorhynchus_nerka	3753	956	30926
Oncorhynchus_nerka	3754	956	2201
Oncorhynchus_nerka	3755	956	2150
Oncorhynchus_tshawytscha	3795	956	32925
Ophiodon_elongatus	3823	956	25867.5798
Ophiodon_elongatus	3824	956	42488.5845
Ophiodon_elongatus	3825	956	42732.1157
Ophiodon_elongatus	3826	956	46506.8493
Parophrys_vetulus	3885	956	2311
Perca_flavescens	3902	956	27.212
Salmo_salar	4262	956	486
Sebastes_brevispinis	4368	956	1.0152
Mallotus_villosus	404	957	10
Blarina_brevicauda	428	957	1
Tamias_striatus	429	957	21
Napaeozapus_insignis	430	957	2
Sorex_cinereus	431	957	8
Myodes_gapperi	448	957	22
Anguilla_rostrata	476	957	0.25
Clupea_pallasii	1826	957	54.6
Clupea_pallasii	1827	957	87.6
Clupea_pallasii	1828	957	45
Clupea_pallasii	1829	957	52
Clupea_pallasii	1830	957	57.2
Clupea_pallasii	1837	957	49.73
Coregonus_artedi	1843	957	1.574
Coregonus_artedi	1844	957	1.701
Gadus_macrocephalus	2903	957	19293
Gadus_morhua	2919	957	347
Lepidopsetta_bilineata	3202	957	2114
Melanogrammus_aeglefinus	3488	957	82.4
Oncorhynchus_gorbuscha	3680	957	52502
Oncorhynchus_gorbuscha	3684	957	451724
Oncorhynchus_gorbuscha	3685	957	617078
Oncorhynchus_gorbuscha	3686	957	65790
Oncorhynchus_keta	3694	957	367
Oncorhynchus_keta	3695	957	429
Oncorhynchus_keta	3704	957	3455
Oncorhynchus_keta	3705	957	5850
Oncorhynchus_keta	3706	957	13319
Oncorhynchus_kisutch	3722	957	277992
Oncorhynchus_kisutch	3723	957	93227
Oncorhynchus_kisutch	3724	957	66618
Oncorhynchus_nerka	3743	957	11395
Oncorhynchus_nerka	3744	957	19202
Oncorhynchus_nerka	3745	957	23
Oncorhynchus_nerka	3746	957	0.21
Oncorhynchus_nerka	3748	957	313510
Oncorhynchus_nerka	3749	957	139958
Oncorhynchus_nerka	3750	957	120605
Oncorhynchus_nerka	3751	957	83512
Oncorhynchus_nerka	3752	957	83128
Oncorhynchus_nerka	3753	957	7495
Oncorhynchus_nerka	3754	957	1779
Oncorhynchus_nerka	3755	957	4300
Oncorhynchus_tshawytscha	3795	957	84630
Ophiodon_elongatus	3823	957	25745.8143
Ophiodon_elongatus	3824	957	42062.4049
Ophiodon_elongatus	3825	957	42701.6743
Ophiodon_elongatus	3826	957	44954.3378
Parophrys_vetulus	3885	957	2300
Perca_flavescens	3902	957	26.414
Salmo_salar	4262	957	822
Sebastes_brevispinis	4368	957	1.0215
Mallotus_villosus	404	958	10
Tamias_striatus	429	958	22
Napaeozapus_insignis	430	958	2
Sorex_cinereus	431	958	5
Myodes_gapperi	448	958	14
Anguilla_rostrata	476	958	0.29
Clupea_pallasii	1826	958	62.6
Clupea_pallasii	1827	958	54.5
Clupea_pallasii	1828	958	32
Clupea_pallasii	1829	958	47
Clupea_pallasii	1830	958	21.2
Clupea_pallasii	1837	958	56.09
Coregonus_artedi	1843	958	1.646
Coregonus_artedi	1844	958	1.471
Gadus_macrocephalus	2903	958	25407
Gadus_morhua	2919	958	364
Gadus_morhua	2921	958	137228
Lepidopsetta_bilineata	3202	958	2039
Melanogrammus_aeglefinus	3488	958	74.6
Oncorhynchus_gorbuscha	3680	958	74150
Oncorhynchus_gorbuscha	3682	958	285099
Oncorhynchus_gorbuscha	3683	958	598174
Oncorhynchus_keta	3694	958	503
Oncorhynchus_keta	3695	958	277
Oncorhynchus_keta	3704	958	6867
Oncorhynchus_keta	3705	958	5850
Oncorhynchus_keta	3706	958	2091
Oncorhynchus_kisutch	3722	958	603150
Oncorhynchus_kisutch	3723	958	156164
Oncorhynchus_kisutch	3724	958	14405
Oncorhynchus_kisutch	3725	958	16627
Oncorhynchus_nerka	3743	958	21813
Oncorhynchus_nerka	3744	958	61946
Oncorhynchus_nerka	3745	958	23
Oncorhynchus_nerka	3746	958	0.33
Oncorhynchus_nerka	3748	958	13152
Oncorhynchus_nerka	3749	958	1256
Oncorhynchus_nerka	3750	958	23106
Oncorhynchus_nerka	3751	958	70504
Oncorhynchus_nerka	3752	958	70433
Oncorhynchus_nerka	3753	958	6136
Oncorhynchus_nerka	3754	958	1769723
Oncorhynchus_nerka	3755	958	4250
Oncorhynchus_tshawytscha	3795	958	89375
Ophiodon_elongatus	3823	958	25806.6971
Ophiodon_elongatus	3824	958	42275.4947
Ophiodon_elongatus	3825	958	42671.2328
Ophiodon_elongatus	3826	958	44193.3029
Parophrys_vetulus	3885	958	2104
Perca_flavescens	3902	958	55.984
Sebastes_brevispinis	4368	958	1.0268
Mallotus_villosus	404	959	5
Tamias_striatus	429	959	30
Napaeozapus_insignis	430	959	4
Sorex_cinereus	431	959	2
Myodes_gapperi	448	959	52
Anguilla_rostrata	476	959	2.01
Clupea_pallasii	1826	959	77.7
Clupea_pallasii	1827	959	36
Clupea_pallasii	1828	959	37
Clupea_pallasii	1829	959	47
Clupea_pallasii	1830	959	15
Clupea_pallasii	1837	959	29.36
Coregonus_artedi	1843	959	2.654
Coregonus_artedi	1844	959	0.88
Gadus_macrocephalus	2903	959	23552
Gadus_morhua	2913	959	71.8306
Gadus_morhua	2919	959	392
Gadus_morhua	2921	959	143688
Lepidopsetta_bilineata	3202	959	2183
Melanogrammus_aeglefinus	3488	959	68.6
Oncorhynchus_gorbuscha	3680	959	43900
Oncorhynchus_gorbuscha	3684	959	431548
Oncorhynchus_gorbuscha	3685	959	834612
Oncorhynchus_gorbuscha	3686	959	123012
Oncorhynchus_keta	3694	959	292
Oncorhynchus_keta	3695	959	68
Oncorhynchus_keta	3705	959	10968
Oncorhynchus_keta	3706	959	1534
Oncorhynchus_kisutch	3723	959	151789
Oncorhynchus_kisutch	3724	959	7613
Oncorhynchus_kisutch	3725	959	4434
Oncorhynchus_nerka	3743	959	5074
Oncorhynchus_nerka	3744	959	42436
Oncorhynchus_nerka	3745	959	50
Oncorhynchus_nerka	3746	959	0.37
Oncorhynchus_nerka	3748	959	4210
Oncorhynchus_nerka	3749	959	30
Oncorhynchus_nerka	3750	959	1339
Oncorhynchus_nerka	3751	959	273383
Oncorhynchus_nerka	3752	959	272891
Oncorhynchus_nerka	3753	959	12683
Oncorhynchus_nerka	3754	959	89289
Oncorhynchus_nerka	3755	959	13000
Oncorhynchus_tshawytscha	3795	959	152300
Ophiodon_elongatus	3823	959	25958.9041
Ophiodon_elongatus	3824	959	41636.2253
Ophiodon_elongatus	3825	959	43371.3851
Ophiodon_elongatus	3826	959	43280.0609
Parophrys_vetulus	3885	959	1974
Perca_flavescens	3902	959	45.128
Sebastes_brevispinis	4368	959	1.0313
Halichoerus_grypus	291	960	879
