ID,Binomial,Species_record_status,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Red_list_category,Year_assessed,Criteria,ED_score,RL_ID,RL_binomial,Fishbase_ID,Fishbase_binomial
1,Balearica_regulorum,Approved,Aves,Gruiformes,Gruidae,Balearica,regulorum,NULL,"(Bennett, 1834)",Grey-crowned crane,EN,2016,A2acd+4acd,12.0681900,22692046,Balearica regulorum,NULL,NULL
2,Acrocephalus_sechellensis,Approved,Aves,Passeriformes,Acrocephalidae,Acrocephalus,sechellensis,"","(Oustalet, 1877)",Seychelles warbler,NT,2016,D2,3.6116730,22714882,Acrocephalus sechellensis,NULL,NULL
3,Copsychus_sechellarum,Approved,Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,"","Newton, 1865",Seychelles magpie-robin,EN,2016,D,3.7809300,22709978,Copsychus sechellarum,NULL,NULL
4,Falco_punctatus,Approved,Aves,Falconiformes,Falconidae,Falco,punctatus,"","Temminck, 1821",Mauritius kestrel,EN,2016,"B1ab(iii,v); C2a(i); D",5.2647080,22696373,Falco punctatus,NULL,NULL
5,Pternistis_ochropectus,Approved,Aves,Galliformes,Phasianidae,Pternistis,ochropectus,"","(Dorst & Jouanin, 1952)",Djibouti francolin,CR,2018,"B2ab(i,ii,iii,v)",3.9439750,22678869,Pternistis ochropectus,NULL,NULL
6,Gyps_coprotheres,Approved,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,"","(Forster, 1798)",Cape vulture,EN,2016,A2acde+3cde,4.0445070,22695225,Gyps coprotheres,NULL,NULL
7,Gyps_africanus,Approved,Aves,Accipitriformes,Accipitridae,Gyps,africanus,"","Salvadori, 1865",White-backed vulture,CR,2018,A2bcd+3bcd+4bcd,6.1535820,22695189,Gyps africanus,NULL,NULL
8,Leptoptilos_crumenifer,Approved,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,NULL,"(Lesson, 1831)",Marabou,LC,2016,NULL,18.6998800,22697716,Leptoptilos crumenifer,NULL,NULL
9,Necrosyrtes_monachus,Approved,Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,"","(Temminck, 1823)",Hooded vulture,CR,2016,A2acd+3cd+4acd,11.4921300,22695185,Necrosyrtes monachus,NULL,NULL
10,Psittacula_eques,Approved,Aves,Psittaciformes,Psittacidae,Psittacula,eques,"","(Newton & Newton, 1876)",Echo parakeet,EN,2016,B1ab(iii),4.2234460,22685448,Psittacula eques,NULL,NULL
11,Torgos_tracheliotos,Approved,Aves,Accipitriformes,Accipitridae,Torgos,tracheliotos,"","(Forster, 1791)",Lappet-faced vulture,EN,2016,A2bcd+3bcd,9.1562120,22695238,Torgos tracheliotos,NULL,NULL
12,Trigonoceps_occipitalis,Approved,Aves,Accipitriformes,Accipitridae,Trigonoceps,occipitalis,"","(Burchell, 1824)",White-headed vulture,CR,2016,A2bcd+3bcd,9.9668290,22695250,Trigonoceps occipitalis,NULL,NULL
13,Acinonyx_jubatus,Approved,Mammalia,Carnivora,Felidae,Acinonyx,jubatus,"","Schreber, 1775",Cheetah,VU,2014,A2acd; C1,13.4510763,219,Acinonyx jubatus,NULL,NULL
14,Aepyceros_melampus,Approved,Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,NULL,"Lichtenstein, 1812",Impala / Black-faced impala,LC,2016,NULL,8.5803666,550,Aepyceros melampus,NULL,NULL
15,Alcelaphus_caama,Approved,Mammalia,Artiodactyla,Bovidae,Alcelaphus,caama,NULL,"É. Geoffroy Saint-Hilaire, 1803",Red hartebeest,LC,2016,NULL,9.8903424,814,Alcelaphus buselaphus ssp. caama,NULL,NULL
16,Alcelaphus_buselaphus,Approved,Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,NULL,"(Pallas, 1766)",Hartebeest / Swayne's hartebeest,LC,2015,NULL,9.8903424,811,Alcelaphus buselaphus,NULL,NULL
17,Antidorcas_marsupialis,Approved,Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,NULL,"(Zimmermann, 1780)",Springbok,LC,2016,NULL,7.3712777,1676,Antidorcas marsupialis,NULL,NULL
18,Canis_mesomelas,Approved,Mammalia,Carnivora,Canidae,Canis,mesomelas,"","Schreber, 1775",Black-backed jackal,LC,2014,NULL,3.5548608,3755,Canis mesomelas,NULL,NULL
19,Canis_simensis,Approved,Mammalia,Carnivora,Canidae,Canis,simensis,NULL,"Rüppell, 1835",Ethiopian wolf,EN,2011,"B1ab(iii,v); C1+2a(i); D",3.2243086,3748,Canis simensis,NULL,NULL
20,Philantomba_maxwellii,Approved,Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,NULL,"C. H. Smith, 1827",Maxwell's duiker,LC,2016,NULL,9.0116586,4142,Philantomba maxwellii,NULL,NULL
21,Cephalophus_rufilatus,Approved,Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,NULL,"Gray, 1846",Red-flanked duiker,LC,2016,NULL,5.5887872,4149,Cephalophus rufilatus,NULL,NULL
22,Ceratotherium_simum,Approved,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,cottoni,"(Burchell, 1817)",Southern white rhinoceros / Northern white rhinoceros,NT,2011,NULL,27.7320472,4185,Ceratotherium simum,NULL,NULL
23,Lophocebus_albigena,Approved,Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,"","(Gray, 1850)",Grey-cheeked mangabey,LC,2008,NULL,6.7012015,12309,Lophocebus albigena,NULL,NULL
24,Cercocebus_galeritus,Approved,Mammalia,Primates,Cercopithecidae,Cercocebus,galeritus,NULL,"Peters, 1879",Tana river mangabey,EN,2008,C2a(ii),6.1234350,4200,Cercocebus galeritus,NULL,NULL
25,Cercopithecus_mitis,Approved,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,"","Matschie, 1905",Blue monkey,EN,2008,B1ab(iii),8.0406732,4221,Cercopithecus mitis,NULL,NULL
26,Colobus_guereza,Approved,Mammalia,Primates,Cercopithecidae,Colobus,guereza,"","Rüppell, 1835",Guereza / Magistrate colobus / Eastern black-and-white colobus,LC,2008,NULL,4.7348455,5143,Colobus guereza,NULL,NULL
27,Connochaetes_gnou,Approved,Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,"","(Zimmermann, 1780)",Black wildebeest / White-tailed gnu,LC,2016,NULL,8.5624775,5228,Connochaetes gnou,NULL,NULL
28,Connochaetes_taurinus,Approved,Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,NULL,"(Burchell, 1824)",White-bearded wildebeest / Blue wildebeest,LC,2016,NULL,8.5573147,5229,Connochaetes taurinus,NULL,NULL
29,Damaliscus_pygargus,Approved,Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,pygargus,"Harper, 1939",Bontebok / Blesbok,LC,2008,NULL,10.5298293,30208,Damaliscus pygargus,NULL,NULL
30,Beatragus_hunteri,Approved,Mammalia,Artiodactyla,Bovidae,Beatragus,hunteri,NULL,"P. L. Sclater, 1889",Hirola / Hunter's antelope / Hunter's hartebeest,CR,2016,A2acd,10.7849047,6234,Beatragus hunteri,NULL,NULL
31,Damaliscus_korrigum,Approved,Mammalia,Artiodactyla,Bovidae,Damaliscus,korrigum,jimela,"Matschie, 1892",Topi / Korrigum / Tiang,EN,2016,C1,9.3683055,6238,Damaliscus lunatus ssp. korrigum,NULL,NULL
32,Damaliscus_lunatus,Approved,Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,"","Burchell, 1824",Topi / Tsessebe antelope,EN,2016,C1,9.4913668,6235,Damaliscus lunatus,NULL,NULL
33,Diceros_bicornis,Approved,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,bicornis,michaeli,"(Linnaeus, 1758)",Black rhinoceros,CR,2011,A2abcd,27.7320472,6557,Diceros bicornis,NULL,NULL
34,Eidolon_helvum,Approved,Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,"","(Kerr, 1792)",Straw-coloured fruit bat,NT,2008,NULL,6.6856344,7084,Eidolon helvum,NULL,NULL
35,Equus_burchellii,Approved,Mammalia,Perissodactyla,Equidae,Equus,burchellii,NULL,"Gray, 1824",Burchell's zebra / Plains zebra / Common zebra,NT,2016,NULL,12.0503348,41013,Equus quagga,NULL,NULL
36,Equus_grevyi,Approved,Mammalia,Perissodactyla,Equidae,Equus,grevyi,"","Oustalet, 1882",Grevy's zebra,EN,2016,A2acd,11.3292803,7950,Equus grevyi,NULL,NULL
37,Equus_zebra,Approved,Mammalia,Perissodactyla,Equidae,Equus,zebra,hartmannae,"Matschie, 1898",Cape mountain zebra,VU,2008,C1,11.4286340,7960,Equus zebra,NULL,NULL
38,Nanger_granti,Approved,Mammalia,Artiodactyla,Bovidae,Nanger,granti,brighti,"Thomas, 1901",Grant's gazelle,LC,2016,NULL,5.5625543,8971,Nanger granti,NULL,NULL
39,Giraffa_camelopardalis,Approved,Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,"","(Linnaeus, 1758)",Giraffe,VU,2016,A2acd,16.4828711,9194,Giraffa camelopardalis,NULL,NULL
40,Gorilla_beringei,Approved,Mammalia,Primates,Hominidae,Gorilla,beringei,beringei,"Matschie, 1903",Mountain gorilla / Eastern lowland gorilla,CR,2016,A4bcd,11.3036313,39994,Gorilla beringei,NULL,NULL
41,Hippotragus_equinus,Approved,Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,NULL,"É. Geoffroy Saint-Hilaire, 1803",Roan antelope,LC,2016,NULL,8.0797288,10167,Hippotragus equinus,NULL,NULL
42,Hippotragus_niger,Approved,Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,NULL,"Harris, 1838",Sable antelope,LC,2016,NULL,8.0766636,10170,Hippotragus niger,NULL,NULL
