ID,min_year,max_year
1,1970,2016
2,2006,2016
3,2007,2013
4,2004,2016
5,2006,2016
6,2016,2017
7,2016,2017
8,2016,2017
9,2016,2017
10,2006,2016
11,1971,2016
12,2016,2017
13,1982,2017
14,2016,2017
15,2003,2010
16,1989,2000
17,1980,2016
18,1970,1994
19,2010,2015
20,1970,1994
21,1974,1994
22,2007,2015
23,2007,2012
24,2007,2010
25,2007,2010
26,1971,1994
27,1970,1994
28,1970,1994
29,1971,1994
30,1984,1993
31,1970,1994
32,1973,1994
33,1971,1994
34,1987,2014
35,1979,1994
36,1973,1994
37,1970,1994
38,1973,1994
39,1972,1994
40,1976,1992
41,1971,1994
42,1970,1994
43,1970,1994
44,1970,1994
45,1970,1994
46,1970,1994
47,1970,1994
48,1987,2014
49,1987,2014
50,1987,2014
51,1987,2014
52,1987,2014
53,1987,2014
54,1987,2014
55,1987,2014
56,2009,2012
57,1997,2001
58,2001,2015
59,2001,2015
60,2008,2009
61,2011,2017
62,1999,2016
63,1983,2015
64,1989,1998
65,1970,2017
66,1970,2017
67,1981,2017
68,1968,1988
69,1975,1986
70,1970,1994
71,1995,2003
72,1977,1984
73,1989,2003
74,1980,1992
75,1971,1993
76,1970,1994
77,1971,1994
78,1987,1993
79,1971,2016
80,1977,1981
81,1996,2016
82,1996,2015
83,2002,2003
84,2006,2017
85,2002,2003
86,2002,2003
87,1987,2003
88,2002,2003
89,1972,1991
90,2002,2003
91,2002,2003
92,2002,2003
93,2002,2003
94,1984,2003
95,1977,1993
96,1970,1994
97,1981,1994
98,1988,1993
99,1972,2016
100,1983,1993
101,1997,2016
102,1970,1981
103,1982,1994
104,1995,2016
105,2004,2015
106,2007,2015
107,2004,2016
108,2012,2015
109,2002,2011
110,2004,2016
111,2002,2011
112,1997,2011
113,2002,2011
114,1984,2012
115,1999,2005
116,1999,2005
117,1995,2010
118,2006,2012
119,1992,2012
120,2006,2015
121,1991,2008
122,1994,2012
123,2008,2015
124,2001,2015
125,2001,2015
126,1997,2013
127,1972,2012
128,1973,2012
129,1971,2012
130,1997,2007
131,1983,1986
132,1978,1984
133,2000,2007
134,2001,2007
135,2000,2007
136,1977,2009
137,1977,2009
138,2005,2008
139,1994,1997
140,1986,2012
141,1972,2012
142,1987,2000
143,1971,2007
144,1989,1993
145,1976,1978
146,2000,2002
147,1995,1997
148,1981,1984
149,1981,1984
150,1990,2004
151,1987,1992
152,1970,1978
153,1970,1978
154,2005,2007
155,1998,2001
156,2005,2006
157,1994,1997
158,1994,1997
159,1995,2006
160,1995,2006
161,1993,1997
162,1993,1997
163,1977,1994
164,1993,1994
165,1995,2009
166,1995,2009
167,1996,2009
168,1996,2009
169,1996,2009
170,1999,2006
171,1973,1977
172,1973,1977
173,1973,1977
174,1972,2002
175,1996,1997
176,1997,1998
177,2002,2004
178,2002,2004
179,2002,2004
180,2002,2004
181,2002,2004
182,2002,2004
183,1996,1997
184,1996,1997
185,1984,2012
186,1986,2012
187,2001,2015
188,2001,2015
189,2003,2015
190,2003,2015
191,2003,2015
192,2001,2015
193,2001,2015
194,2006,2012
195,2006,2012
196,2006,2012
197,2006,2012
198,2006,2012
199,2006,2012
200,1992,2012
201,1992,2012
202,1992,2012
203,1992,2012
204,1992,2012
205,1992,2012
206,1992,2011
207,1995,2001
208,1978,1994
209,1988,2009
210,1981,2009
211,1992,2002
212,1995,1997
213,1995,1997
214,1995,1997
215,1995,2014
216,1995,1997
217,1995,1997
218,1995,2009
219,1995,2009
220,1977,1994
221,1977,1994
222,1999,2010
223,1996,2008
224,1984,1993
225,1984,1991
226,1972,1978
227,1972,1982
228,1996,2010
229,1996,2010
230,1984,1995
231,1985,1995
232,1975,1982
233,1975,1982
234,1971,1974
235,1971,1973
236,1999,2002
237,1999,2002
238,1999,2003
239,1999,2002
240,1999,2003
241,1999,2005
242,2006,2008
243,2001,2003
244,1994,1998
245,1994,1995
246,1994,1998
247,1999,2002
248,1999,2002
249,1999,2002
250,1999,2002
251,1999,2002
252,1978,1981
253,2001,2003
254,2001,2003
255,2001,2006
256,2001,2006
257,1995,2004
258,1995,2004
259,2009,2010
260,1976,2008
261,2002,2003
262,1984,1986
263,1999,2005
264,2003,2012
265,2008,2012
266,1997,2012
267,1988,2011
268,2003,2012
269,1988,2011
270,2003,2011
271,1988,2011
272,2003,2012
273,2005,2011
274,1994,2011
275,1987,2012
276,2004,2012
277,2003,2012
278,1990,2010
279,1987,2012
280,1981,1982
281,1987,2012
282,2001,2012
283,2009,2012
284,1996,2010
285,1972,2002
286,1972,2002
287,1989,2010
288,1999,2006
289,1991,1994
290,2007,2009
291,1960,2010
292,1961,2010
293,1990,1992
294,1997,1999
