CODE,TAXONOMIC_GROUP,ORDER,FAMILY,SCIENTIFIC_NAME,Binomial,ENGLISH_COMMON_NAME,CA
GS000494,Fishes,Acipenseriformes,Acipenseridae,Acipenser brevirostrum,Acipenser_brevirostrum,NA,N3
GS000495,Fishes,Acipenseriformes,Acipenseridae,Acipenser fulvescens,Acipenser_fulvescens,NA,N3
GS000496,Fishes,Acipenseriformes,Acipenseridae,Acipenser medirostris,Acipenser_medirostris,NA,"NUB,N3N,N3M"
GS000497,Fishes,Acipenseriformes,Acipenseridae,Acipenser oxyrinchus,Acipenser_oxyrinchus,NA,"N3B,NUN,NUM"
GS000498,Fishes,Acipenseriformes,Acipenseridae,Acipenser transmontanus,Acipenser_transmontanus,NA,"N2B,NUN,NUM"
GS006854,Fishes,Albuliformes,Halosauridae,Aldrovandia affinis,Aldrovandia_affinis,NA,NU
GS006855,Fishes,Albuliformes,Halosauridae,Aldrovandia gracilis,Aldrovandia_gracilis,NA,NU
GS006856,Fishes,Albuliformes,Halosauridae,Aldrovandia oleosa,Aldrovandia_oleosa,NA,NU
GS006857,Fishes,Albuliformes,Halosauridae,Aldrovandia phalacra,Aldrovandia_phalacra,NA,N5
GS006858,Fishes,Albuliformes,Halosauridae,Halosauropsis macrochir,Halosauropsis_macrochir,NA,NU
GS006859,Fishes,Albuliformes,Notacanthidae,Lipogenys gillii,Lipogenys_gillii,NA,NU
GS006860,Fishes,Albuliformes,Notacanthidae,Notacanthus bonaparte,Notacanthus_bonaparte,NA,NU
GS006861,Fishes,Albuliformes,Notacanthidae,Notacanthus chemnitzii,Notacanthus_chemnitzii,NA,N5
GS006862,Fishes,Albuliformes,Notacanthidae,Polyacanthonotus challengeri,Polyacanthonotus_challengeri,NA,NU
GS006863,Fishes,Albuliformes,Notacanthidae,Polyacanthonotus rissoanus,Polyacanthonotus_rissoanus,NA,N5
GS000500,Fishes,Amiiformes,Amiidae,Amia calva,Amia_calva,NA,N4N5
GS000501,Fishes,Anguilliformes,Anguillidae,Anguilla rostrata,Anguilla_rostrata,NA,"N2N4N,N2N4M"
GS006867,Fishes,Anguilliformes,Colocongridae,Thalassenchelys coheni,Thalassenchelys_coheni,NA,NU
GS006870,Fishes,Anguilliformes,Congridae,Conger oceanicus,Conger_oceanicus,NA,"N5N,N5M"
GS006875,Fishes,Anguilliformes,Congridae,Xenomystax atrarius,Xenomystax_atrarius,NA,NU
GS006876,Fishes,Anguilliformes,Derichthyidae,Derichthys serpentinus,Derichthys_serpentinus,NA,NU
GS006877,Fishes,Anguilliformes,Derichthyidae,Nessorhamphus ingolfianus,Nessorhamphus_ingolfianus,NA,N5
GS006882,Fishes,Anguilliformes,Nemichthyidae,Avocettina infans,Avocettina_infans,NA,NU
GS006885,Fishes,Anguilliformes,Nemichthyidae,Nemichthys scolopaceus,Nemichthys_scolopaceus,NA,N5
GS030317,Fishes,Anguilliformes,Nettastomatidae,Venefica ocella,Venefica_ocella,NA,NU
GS006887,Fishes,Anguilliformes,Nettastomatidae,Venefica procera,Venefica_procera,NA,NU
GS030318,Fishes,Anguilliformes,Nettastomatidae,Venefica tentaculata,Venefica_tentaculata,NA,NU
GS006895,Fishes,Anguilliformes,Ophichthidae,Ophichthus cruentifer,Ophichthus_cruentifer,NA,NU
GS006898,Fishes,Anguilliformes,Serrivomeridae,Serrivomer beanii,Serrivomer_beanii,NA,N5
GS006899,Fishes,Anguilliformes,Serrivomeridae,Serrivomer jesperseni,Serrivomer_jesperseni,NA,NU
GS006900,Fishes,Anguilliformes,Serrivomeridae,Serrivomer lanceolatoides,Serrivomer_lanceolatoides,NA,N5
GS006901,Fishes,Anguilliformes,Synaphobranchidae,Histiobranchus bathybius,Histiobranchus_bathybius,NA,NU
GS006902,Fishes,Anguilliformes,Synaphobranchidae,Ilyophis brunneus,Ilyophis_brunneus,NA,NU
GS006903,Fishes,Anguilliformes,Synaphobranchidae,Simenchelys parasitica,Simenchelys_parasitica,NA,N5
GS006904,Fishes,Anguilliformes,Synaphobranchidae,Synaphobranchus affinis,Synaphobranchus_affinis,NA,NU
GS030319,Fishes,Anguilliformes,Synaphobranchidae,Synaphobranchus brevidorsalis,Synaphobranchus_brevidorsalis,NA,NU
GS006905,Fishes,Anguilliformes,Synaphobranchidae,Synaphobranchus kaupii,Synaphobranchus_kaupii,NA,N5
GS007270,Fishes,Argentiniformes,Alepocephalidae,Alepocephalus tenebrosus,Alepocephalus_tenebrosus,NA,NU
GS007280,Fishes,Argentiniformes,Alepocephalidae,Talismania bifurcata,Talismania_bifurcata,NA,NU
GS007288,Fishes,Argentiniformes,Microstomatidae,Bathylagus pacificus,Bathylagus_pacificus,NA,NU
GS007290,Fishes,Argentiniformes,Microstomatidae,Leuroglossus schmidti,Leuroglossus_schmidti,NA,N5
GS007292,Fishes,Argentiniformes,Microstomatidae,Lipolagus ochotensis,Lipolagus_ochotensis,NA,NU
GS007295,Fishes,Argentiniformes,Microstomatidae,Nansenia candida,Nansenia_candida,NA,NU
GS007294,Fishes,Argentiniformes,Microstomatidae,Pseudobathylagus milleri,Pseudobathylagus_milleri,NA,NU
GS007299,Fishes,Argentiniformes,Opisthoproctidae,Bathylychnops exilis,Bathylychnops_exilis,NA,NU
GS007301,Fishes,Argentiniformes,Opisthoproctidae,Macropinna microstoma,Macropinna_microstoma,NA,NU
GS007307,Fishes,Argentiniformes,Platytroctidae,Holtbyrnia latifrons,Holtbyrnia_latifrons,NA,NU
GS007309,Fishes,Argentiniformes,Platytroctidae,Maulisia argipalla,Maulisia_argipalla,NA,NU
GS007314,Fishes,Argentiniformes,Platytroctidae,Sagamichthys abei,Sagamichthys_abei,NA,NU
GS000502,Fishes,Atheriniformes,Atherinopsidae,Labidesthes sicculus,Labidesthes_sicculus,NA,N4N5
GS000503,Fishes,Atheriniformes,Atherinopsidae,Menidia menidia,Menidia_menidia,NA,"N5B,N5N,N5M"
GS006908,Fishes,Aulopiformes,Alepisauridae,Alepisaurus brevirostris,Alepisaurus_brevirostris,NA,NU
GS006909,Fishes,Aulopiformes,Alepisauridae,Alepisaurus ferox,Alepisaurus_ferox,NA,"N5N,N5M"
GS006910,Fishes,Aulopiformes,Anotopteridae,Anotopterus nikparini,Anotopterus_nikparini,NA,NU
GS006911,Fishes,Aulopiformes,Anotopteridae,Anotopterus pharao,Anotopterus_pharao,NA,"N5N,N5M"
GS006912,Fishes,Aulopiformes,Chlorophthalmidae,Chlorophthalmus agassizi,Chlorophthalmus_agassizi,NA,N5
GS006913,Fishes,Aulopiformes,Evermannellidae,Coccorella atlantica,Coccorella_atlantica,NA,N5
GS006915,Fishes,Aulopiformes,Evermannellidae,Evermannella balbo,Evermannella_balbo,NA,N5
GS006916,Fishes,Aulopiformes,Evermannellidae,Evermannella melanoderma,Evermannella_melanoderma,NA,N5
GS006917,Fishes,Aulopiformes,Ipnopidae,Bathypterois dubius,Bathypterois_dubius,NA,NU
GS006921,Fishes,Aulopiformes,Ipnopidae,Bathypterois phenax,Bathypterois_phenax,NA,NU
GS006922,Fishes,Aulopiformes,Ipnopidae,Bathypterois quadrifilis,Bathypterois_quadrifilis,NA,NU
GS006923,Fishes,Aulopiformes,Ipnopidae,Bathypterois viridensis,Bathypterois_viridensis,NA,NU
GS006924,Fishes,Aulopiformes,Ipnopidae,Parasudis truculenta,Parasudis_truculenta,NA,N5
GS006925,Fishes,Aulopiformes,Notosudidae,Ahliesaurus berryi,Ahliesaurus_berryi,NA,NU
GS006926,Fishes,Aulopiformes,Notosudidae,Scopelosaurus argenteus,Scopelosaurus_argenteus,NA,NU
GS006927,Fishes,Aulopiformes,Notosudidae,Scopelosaurus harryi,Scopelosaurus_harryi,NA,NU
GS006928,Fishes,Aulopiformes,Notosudidae,Scopelosaurus lepidus,Scopelosaurus_lepidus,NA,"N5N,N5M"
GS006929,Fishes,Aulopiformes,Notosudidae,Scopelosaurus mauli,Scopelosaurus_mauli,NA,NU
GS006930,Fishes,Aulopiformes,Notosudidae,Scopelosaurus smithii,Scopelosaurus_smithii,NA,NU
GS006931,Fishes,Aulopiformes,Omosudidae,Omosudis lowii,Omosudis_lowii,NA,NU
GS006933,Fishes,Aulopiformes,Paralepididae,Arctozenus risso,Arctozenus_risso,NA,N5
GS006934,Fishes,Aulopiformes,Paralepididae,Lestidiops affinis,Lestidiops_affinis,NA,N5
GS006935,Fishes,Aulopiformes,Paralepididae,Lestidiops jayakari,Lestidiops_jayakari,NA,N5
GS006932,Fishes,Aulopiformes,Paralepididae,Lestidiops ringens,Lestidiops_ringens,NA,NU
GS006936,Fishes,Aulopiformes,Paralepididae,Magnisudis atlantica,Magnisudis_atlantica,NA,"N5N,N5M"
GS006937,Fishes,Aulopiformes,Paralepididae,Paralepis brevirostris,Paralepis_brevirostris,NA,NU
GS006938,Fishes,Aulopiformes,Paralepididae,Paralepis coregonoides,Paralepis_coregonoides,NA,"N5N,N5M"
GS006939,Fishes,Aulopiformes,Paralepididae,Paralepis elongata,Paralepis_elongata,NA,NU
GS006940,Fishes,Aulopiformes,Paralepididae,Stemonosudis intermedia,Stemonosudis_intermedia,NA,NU
GS006941,Fishes,Aulopiformes,Paralepididae,Sudis hyalina,Sudis_hyalina,NA,N5
