Binomial_LPI,Binomial_WSR,Note
Albatrossia_pectoralis,Coryphaenoides_pectoralis,
Ammospiza_leconteii,Ammodramus_lecontei,
Ammospiza_nelsoni,Ammodramus_nelsoni,
Antigone_canadensis,Grus_canadensis,
Ardenna_gravis,Puffinus_gravis,
Ardenna_grisea,Puffinus_griseus,
Bathyraja_aleutica,Bathyraja_aleutica,Not regularly occurring
Bathyraja_minispinosa,Bathyraja_minispinosa,Not regularly occurring
Bathyraja_parmifera,Bathyraja_richardsoni,found synonym with taxize
Beringraja_binoculata,Raja_binoculata,found synonym with taxize
Bison_bison,Bos_bison,
Butorides_striata,Butorides_virescens,Birdlife lumps green (virescens; migratory) and striated (striata; florida resident)
Cepphus_Columba,Cepphus_columba,Typo in CSI dataset
Cervus_elaphus,Cervus_canadensis,
Circus_hudsonius,Circus_cyaneus,
Dryobates_pubescens,Picoides_pubescens,
Erethizon_dorsata,Erethizon_dorsatum,
Gadus_chalcogrammus,Gadus_chalcogramma,
Glaucidium_californicum,Glaucidium_gnoma,
Haematopus_ater,Haematopus bachmani,
Hesperiphona_vespertina,Coccothraustes_vespertinus,
Himantopus_himantopus,Himantopus_mexicanus,
Hippoglossina_oblonga,Paralichthys_oblongus,
Hydrobates_leucorhous,Oceanodroma_leucorhoa,
Hylatomus_pileatus,Dryocopus_pileatus,
Icterus_bullockiorum,Icterus_bullockii,
Larus_philadelphia,Chroicocephalus_philadelphia,
Larus_pipixcan,"Leucophaeus pipixcan
",
Larus_smithsonianus,"Larus argentatus
",
Leiothlypis_celata,Oreothlypis_celata,
Leiothlypis_peregrina,Oreothlypis_peregrina,
Leiothlypis_ruficapilla,Oreothlypis_ruficapilla,
Leuconotopicus_villosus,Picoides villosus,
Mareca_americana,Anas_americana,
Mareca_strepera,Anas_strepera,
Martes_pennanti,Pekania_pennanti,
Melanitta_deglandi,Melanitta_fusca,
Neovison_vison,Vison_vison,
Pantherophis_obsoletus,Pantherophis_spiloides,
Parasalmo_clarkii,Oncorhynchus_clarkii,
Passerculus_bairdii,Ammodramus_bairdii,
Passerculus_henslowii,Ammodramus_henslowii,
Passerella_arborea,Spizella_arborea,
Pica_pica,Pica_hudsonia,
Picoides_tridactylus,Picoides_dorsalis,
Rhacochilus_vacca,"Damalichthys_vacca
",
Sigmops_elongatus,"Gonostoma_elongatum
",
Spatula_clypeata,Anas_clypeata,
Spatula_cyanoptera,Anas_cyanoptera,
Spatula_discors,Anas_discors,
Spermophilus_columbianus,Urocitellus_columbianus,
Spermophilus_franklinii,Poliocitellus_franklinii,
Spermophilus_parryii,Urocitellus_parryii,
Steganopus_tricolor,Phalaropus_tricolor,
Tamias_amoenus,Neotamias_amoenus,
Tamias_minimus,Neotamias_minimus,
Tetronarce_nobiliana,Torpedo_nobiliana,
Zenopsis_conchifer,Zenopsis_conchifera,
